"chromosome","position","strand","cellType","patient","reads","sampleReplicate","timePoint","timePointMonths","inferredCells","relativeAbundance","nearestGene","source","sample"
"chr19",17266746,"-","PBMC","pHI002",8,"GTSP0521-3","m40",40,2,0.0741839762611276,"BABAM1","Illumina","GTSP0521"
"chr19",18974754,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"SUGP2","Illumina","GTSP0521"
"chr19",20422245,"-","PBMC","pHI002",2,"GTSP0521-2","m40",40,1,0.0370919881305638,"ZNF826P","Illumina","GTSP0521"
"chr19",23249638,"-","PBMC","pHI002",15,"GTSP0521-1","m40",40,1,0.0370919881305638,"ZNF724","Illumina","GTSP0521"
"chr19",3132948,"-","PBMC","pHI002",343,"GTSP0521-1","m40",40,12,0.445103857566766,"GNA15","Illumina","GTSP0521"
"chr19",37424590,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"ZNF569","Illumina","GTSP0521"
"chr19",38851642,"-","PBMC","pHI002",206,"GTSP0521-1","m40",40,5,0.185459940652819,"HNRNPL","Illumina","GTSP0521"
"chr19",43944998,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"ZNF221","Illumina","GTSP0521"
"chr19",47111399,"-","PBMC","pHI002",145,"GTSP0521-1","m40",40,17,0.630563798219585,"ZC3H4","Illumina","GTSP0521"
"chr19",48250069,"-","PBMC","pHI002",21,"GTSP0521-2","m40",40,1,0.0370919881305638,"CARD8","Illumina","GTSP0521"
"chr19",53947092,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"CACNG7","Illumina","GTSP0521"
"chr19",10103356,"+","PBMC","pHI002",3371,"GTSP0521-1","m40",40,87,3.22700296735905,"ANGPTL6","Illumina","GTSP0521"
"chr19",10186648,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"DNMT1","Illumina","GTSP0521"
"chr19",1173685,"+","PBMC","pHI002",33,"GTSP0521-2","m40",40,1,0.0370919881305638,"SBNO2","Illumina","GTSP0521"
"chr19",12912853,"+","PBMC","pHI002",37,"GTSP0521-1","m40",40,1,0.0370919881305638,"SYCE2","Illumina","GTSP0521"
"chr19",13836913,"+","PBMC","pHI002",69,"GTSP0521-1","m40",40,3,0.111275964391691,"MIR23A","Illumina","GTSP0521"
"chr19",13844048,"+","PBMC","pHI002",1001,"GTSP0521-1","m40",40,16,0.593471810089021,"MIR23A","Illumina","GTSP0521"
"chr19",14370773,"+","PBMC","pHI002",32,"GTSP0521-2","m40",40,5,0.185459940652819,"LINC01841","Illumina","GTSP0521"
"chr19",14664624,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"ADGRE3","Illumina","GTSP0521"
"chr19",17454087,"+","PBMC","pHI002",14,"GTSP0521-1","m40",40,5,0.185459940652819,"NXNL1","Illumina","GTSP0521"
"chr19",18024583,"+","PBMC","pHI002",95,"GTSP0521-1","m40",40,6,0.222551928783383,"ARRDC2","Illumina","GTSP0521"
"chr19",3424126,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"NFIC","Illumina","GTSP0521"
"chr19",34997006,"+","PBMC","pHI002",30,"GTSP0521-4","m40",40,1,0.0370919881305638,"GRAMD1A","Illumina","GTSP0521"
"chr19",42075119,"+","PBMC","pHI002",5,"GTSP0521-2","m40",40,1,0.0370919881305638,"ZNF574","Illumina","GTSP0521"
"chr19",43779174,"+","PBMC","pHI002",9,"GTSP0521-1","m40",40,1,0.0370919881305638,"KCNN4","Illumina","GTSP0521"
"chr19",48250497,"+","PBMC","pHI002",306,"GTSP0521-1","m40",40,17,0.630563798219585,"CARD8","Illumina","GTSP0521"
"chr19",8389021,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"RAB11B-AS1","Illumina","GTSP0521"
"chr2",131121456,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"PLEKHB2","Illumina","GTSP0521"
"chr2",197253041,"-","PBMC","pHI002",62,"GTSP0521-1","m40",40,5,0.185459940652819,"ANKRD44,ANKRD44-IT1","Illumina","GTSP0521"
"chr2",197305986,"-","PBMC","pHI002",31,"GTSP0521-1","m40",40,17,0.630563798219585,"ANKRD44","Illumina","GTSP0521"
"chr2",197322673,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"ANKRD44","Illumina","GTSP0521"
"chr2",46946222,"-","PBMC","pHI002",9,"GTSP0521-1","m40",40,4,0.148367952522255,"TTC7A","Illumina","GTSP0521"
"chr2",54587240,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"SPTBN1","Illumina","GTSP0521"
"chr2",70132321,"-","PBMC","pHI002",141,"GTSP0521-1","m40",40,4,0.148367952522255,"LINC01816","Illumina","GTSP0521"
"chr2",70135221,"-","PBMC","pHI002",181,"GTSP0521-1","m40",40,5,0.185459940652819,"LINC01816","Illumina","GTSP0521"
"chr2",77218202,"-","PBMC","pHI002",5,"GTSP0521-1","m40",40,2,0.0741839762611276,"LRRTM4","Illumina","GTSP0521"
"chr2",8540017,"-","PBMC","pHI002",3,"GTSP0521-3","m40",40,1,0.0370919881305638,"LINC01814","Illumina","GTSP0521"
"chr2",9513203,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"ADAM17","Illumina","GTSP0521"
"chr2",105796875,"+","PBMC","pHI002",188,"GTSP0521-1","m40",40,17,0.630563798219585,"NCK2","Illumina","GTSP0521"
"chr2",126637011,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"GYPC","Illumina","GTSP0521"
"chr2",157468213,"+","PBMC","pHI002",3,"GTSP0521-3","m40",40,1,0.0370919881305638,"CYTIP","Illumina","GTSP0521"
"chr2",159289076,"+","PBMC","pHI002",28,"GTSP0521-1","m40",40,4,0.148367952522255,"WDSUB1","Illumina","GTSP0521"
"chr2",177348764,"+","PBMC","pHI002",68,"GTSP0521-1","m40",40,3,0.111275964391691,"LOC100130691","Illumina","GTSP0521"
"chr2",190360915,"+","PBMC","pHI002",9,"GTSP0521-4","m40",40,1,0.0370919881305638,"INPP1","Illumina","GTSP0521"
"chr2",197294177,"+","PBMC","pHI002",83,"GTSP0521-1","m40",40,4,0.148367952522255,"ANKRD44,ANKRD44-IT1","Illumina","GTSP0521"
"chr2",202636435,"+","PBMC","pHI002",20,"GTSP0521-3","m40",40,3,0.111275964391691,"FAM117B","Illumina","GTSP0521"
"chr2",207657707,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"LINC01857","Illumina","GTSP0521"
"chr2",231361618,"+","PBMC","pHI002",9,"GTSP0521-3","m40",40,2,0.0741839762611276,"ARMC9","Illumina","GTSP0521"
"chr2",233336324,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"SAG","Illumina","GTSP0521"
"chr2",28595157,"+","PBMC","pHI002",2,"GTSP0521-4","m40",40,1,0.0370919881305638,"PLB1","Illumina","GTSP0521"
"chr2",32356706,"+","PBMC","pHI002",199,"GTSP0521-1","m40",40,3,0.111275964391691,"BIRC6","Illumina","GTSP0521"
"chr2",55113720,"+","PBMC","pHI002",3,"GTSP0521-4","m40",40,1,0.0370919881305638,"RTN4","Illumina","GTSP0521"
"chr2",55695101,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"PNPT1","Illumina","GTSP0521"
"chr2",64765771,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"LINC01800","Illumina","GTSP0521"
"chr2",70085791,"+","PBMC","pHI002",56,"GTSP0521-2","m40",40,5,0.185459940652819,"PCBP1-AS1","Illumina","GTSP0521"
"chr2",70133238,"+","PBMC","pHI002",67,"GTSP0521-1","m40",40,8,0.29673590504451,"LINC01816","Illumina","GTSP0521"
"chr2",70133605,"+","PBMC","pHI002",140,"GTSP0521-1","m40",40,6,0.222551928783383,"LINC01816","Illumina","GTSP0521"
"chr2",9537794,"+","PBMC","pHI002",9,"GTSP0521-3","m40",40,1,0.0370919881305638,"ADAM17","Illumina","GTSP0521"
"chr2",97718383,"+","PBMC","pHI002",4,"GTSP0521-4","m40",40,1,0.0370919881305638,"ZAP70","Illumina","GTSP0521"
"chr20",11129464,"-","PBMC","pHI002",12,"GTSP0521-3","m40",40,1,0.0370919881305638,"LOC339593","Illumina","GTSP0521"
"chr20",17083085,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"PCSK2","Illumina","GTSP0521"
"chr20",35775167,"-","PBMC","pHI002",35,"GTSP0521-1","m40",40,2,0.0741839762611276,"PHF20","Illumina","GTSP0521"
"chr20",37378531,"-","PBMC","pHI002",21,"GTSP0521-2","m40",40,1,0.0370919881305638,"SRC","Illumina","GTSP0521"
"chr20",3982166,"-","PBMC","pHI002",16,"GTSP0521-1","m40",40,3,0.111275964391691,"RNF24","Illumina","GTSP0521"
"chr20",49003524,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"ARFGEF2","Illumina","GTSP0521"
"chr20",49302105,"-","PBMC","pHI002",3,"GTSP0521-2","m40",40,3,0.111275964391691,"ZFAS1","Illumina","GTSP0521"
"chr20",49597395,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"PTGIS","Illumina","GTSP0521"
"chr20",53657061,"-","PBMC","pHI002",4619,"GTSP0521-1","m40",40,189,7.01038575667656,"LOC105372672","Illumina","GTSP0521"
"chr20",53751238,"-","PBMC","pHI002",219,"GTSP0521-1","m40",40,7,0.259643916913947,"LOC105372672","Illumina","GTSP0521"
"chr20",53869654,"-","PBMC","pHI002",56,"GTSP0521-1","m40",40,2,0.0741839762611276,"SUMO1P1","Illumina","GTSP0521"
"chr20",10495512,"+","PBMC","pHI002",56,"GTSP0521-2","m40",40,5,0.185459940652819,"SLX4IP","Illumina","GTSP0521"
"chr20",10508305,"+","PBMC","pHI002",14,"GTSP0521-4","m40",40,1,0.0370919881305638,"SLX4IP","Illumina","GTSP0521"
"chr20",32534713,"+","PBMC","pHI002",2,"GTSP0521-4","m40",40,1,0.0370919881305638,"NOL4L","Illumina","GTSP0521"
"chr20",49965548,"+","PBMC","pHI002",78,"GTSP0521-1","m40",40,3,0.111275964391691,"RNF114","Illumina","GTSP0521"
"chr20",53609330,"+","PBMC","pHI002",178,"GTSP0521-1","m40",40,15,0.556379821958457,"LOC105372672","Illumina","GTSP0521"
"chr20",53842494,"+","PBMC","pHI002",83,"GTSP0521-1","m40",40,2,0.0741839762611276,"SUMO1P1","Illumina","GTSP0521"
"chr21",25941684,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"APP","Illumina","GTSP0521"
"chr21",29172823,"-","PBMC","pHI002",53,"GTSP0521-1","m40",40,3,0.111275964391691,"MAP3K7CL","Illumina","GTSP0521"
"chr21",30268283,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"KRTAP24-1","Illumina","GTSP0521"
"chr21",33383707,"-","PBMC","pHI002",2,"GTSP0521-4","m40",40,1,0.0370919881305638,"IFNGR2","Illumina","GTSP0521"
"chr21",35503384,"-","PBMC","pHI002",8,"GTSP0521-4","m40",40,1,0.0370919881305638,"LOC100506403","Illumina","GTSP0521"
"chr21",38799879,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"ETS2","Illumina","GTSP0521"
"chr21",42530123,"-","PBMC","pHI002",86,"GTSP0521-2","m40",40,5,0.185459940652819,"SLC37A1","Illumina","GTSP0521"
"chr21",17792916,"+","PBMC","pHI002",70,"GTSP0521-3","m40",40,1,0.0370919881305638,"C21ORF91","Illumina","GTSP0521"
"chr21",25560850,"+","PBMC","pHI002",1034,"GTSP0521-1","m40",40,54,2.00296735905045,"MIR155HG","Illumina","GTSP0521"
"chr21",35011122,"+","PBMC","pHI002",164,"GTSP0521-2","m40",40,2,0.0741839762611276,"RUNX1","Illumina","GTSP0521"
"chr21",39049346,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"LINC01700","Illumina","GTSP0521"
"chr21",44881590,"+","PBMC","pHI002",13,"GTSP0521-2","m40",40,2,0.0741839762611276,"ITGB2","Illumina","GTSP0521"
"chr21",45243040,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"LINC00334","Illumina","GTSP0521"
"chr21",46666915,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"PRMT2","Illumina","GTSP0521"
"chr22",21567923,"-","PBMC","pHI002",148,"GTSP0521-1","m40",40,3,0.111275964391691,"UBE2L3","Illumina","GTSP0521"
"chr22",36331535,"-","PBMC","pHI002",5,"GTSP0521-4","m40",40,1,0.0370919881305638,"MYH9","Illumina","GTSP0521"
"chr22",38315088,"-","PBMC","pHI002",29,"GTSP0521-1","m40",40,7,0.259643916913947,"CSNK1E,LOC400927-CSNK1E","Illumina","GTSP0521"
"chr22",40069678,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"TNRC6B","Illumina","GTSP0521"
"chr22",46806061,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"TBC1D22A","Illumina","GTSP0521"
"chr22",47533702,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"LINC01644","Illumina","GTSP0521"
"chr22",50540381,"-","PBMC","pHI002",3,"GTSP0521-3","m40",40,1,0.0370919881305638,"KLHDC7B","Illumina","GTSP0521"
"chr22",19267660,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"CLTCL1","Illumina","GTSP0521"
"chr22",20500089,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"KLHL22","Illumina","GTSP0521"
"chr22",20566936,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"MED15","Illumina","GTSP0521"
"chr22",24146366,"+","PBMC","pHI002",225,"GTSP0521-1","m40",40,10,0.370919881305638,"CABIN1","Illumina","GTSP0521"
"chr22",24730661,"+","PBMC","pHI002",4,"GTSP0521-4","m40",40,1,0.0370919881305638,"PIWIL3","Illumina","GTSP0521"
"chr22",29201232,"+","PBMC","pHI002",21,"GTSP0521-1","m40",40,2,0.0741839762611276,"EMID1","Illumina","GTSP0521"
"chr22",31663397,"+","PBMC","pHI002",25,"GTSP0521-3","m40",40,1,0.0370919881305638,"PISD","Illumina","GTSP0521"
"chr22",38430312,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"KCNJ4","Illumina","GTSP0521"
"chr22",39020487,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"APOBEC3D","Illumina","GTSP0521"
"chr3",112127203,"-","PBMC","pHI002",281,"GTSP0521-1","m40",40,10,0.370919881305638,"GCSAM","Illumina","GTSP0521"
"chr3",113616896,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"SIDT1","Illumina","GTSP0521"
"chr3",127591855,"-","PBMC","pHI002",9,"GTSP0521-1","m40",40,1,0.0370919881305638,"TPRA1","Illumina","GTSP0521"
"chr3",183440996,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"LINC00888","Illumina","GTSP0521"
"chr3",196635443,"-","PBMC","pHI002",3,"GTSP0521-1","m40",40,1,0.0370919881305638,"LINC01063","Illumina","GTSP0521"
"chr3",32946268,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"CCR4","Illumina","GTSP0521"
"chr3",41317334,"-","PBMC","pHI002",15,"GTSP0521-4","m40",40,1,0.0370919881305638,"ULK4","Illumina","GTSP0521"
"chr3",69085398,"-","PBMC","pHI002",24,"GTSP0521-3","m40",40,4,0.148367952522255,"ARL6IP5","Illumina","GTSP0521"
"chr3",100130663,"+","PBMC","pHI002",66,"GTSP0521-3","m40",40,3,0.111275964391691,"CMSS1","Illumina","GTSP0521"
"chr3",101689906,"+","PBMC","pHI002",63,"GTSP0521-2","m40",40,3,0.111275964391691,"RPL24","Illumina","GTSP0521"
"chr3",112383249,"+","PBMC","pHI002",4,"GTSP0521-2","m40",40,1,0.0370919881305638,"CD200","Illumina","GTSP0521"
"chr3",129015108,"+","PBMC","pHI002",202,"GTSP0521-1","m40",40,8,0.29673590504451,"EFCC1","Illumina","GTSP0521"
"chr3",138686551,"+","PBMC","pHI002",39,"GTSP0521-3","m40",40,3,0.111275964391691,"PIK3CB","Illumina","GTSP0521"
"chr3",151769742,"+","PBMC","pHI002",11,"GTSP0521-3","m40",40,2,0.0741839762611276,"AADACL2-AS1","Illumina","GTSP0521"
"chr3",151875541,"+","PBMC","pHI002",6,"GTSP0521-1","m40",40,3,0.111275964391691,"AADACL2-AS1,SUCNR1","Illumina","GTSP0521"
"chr3",186839380,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"ADIPOQ","Illumina","GTSP0521"
"chr3",187341964,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"RTP4","Illumina","GTSP0521"
"chr3",194059751,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"LINC02028","Illumina","GTSP0521"
"chr3",196624214,"+","PBMC","pHI002",31,"GTSP0521-4","m40",40,1,0.0370919881305638,"LINC01063","Illumina","GTSP0521"
"chr3",32402687,"+","PBMC","pHI002",3,"GTSP0521-1","m40",40,1,0.0370919881305638,"CMTM7","Illumina","GTSP0521"
"chr3",39111311,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"TTC21A","Illumina","GTSP0521"
"chr3",39272918,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"CX3CR1","Illumina","GTSP0521"
"chr3",50623381,"+","PBMC","pHI002",100,"GTSP0521-1","m40",40,8,0.29673590504451,"MAPKAPK3","Illumina","GTSP0521"
"chr3",56923571,"+","PBMC","pHI002",31,"GTSP0521-1","m40",40,2,0.0741839762611276,"ARHGEF3","Illumina","GTSP0521"
"chr3",87801311,"+","PBMC","pHI002",19,"GTSP0521-1","m40",40,2,0.0741839762611276,"HTR1F","Illumina","GTSP0521"
"chr3",88033373,"+","PBMC","pHI002",3,"GTSP0521-2","m40",40,1,0.0370919881305638,"CGGBP1","Illumina","GTSP0521"
"chr3",98554536,"+","PBMC","pHI002",4,"GTSP0521-3","m40",40,1,0.0370919881305638,"GPR15","Illumina","GTSP0521"
"chr3",98731295,"+","PBMC","pHI002",8,"GTSP0521-1","m40",40,4,0.148367952522255,"ST3GAL6-AS1","Illumina","GTSP0521"
"chr4",118850886,"-","PBMC","pHI002",9,"GTSP0521-2","m40",40,1,0.0370919881305638,"SYNPO2","Illumina","GTSP0521"
"chr4",186329460,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"F11-AS1","Illumina","GTSP0521"
"chr4",26205801,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"RBPJ","Illumina","GTSP0521"
"chr4",39714614,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"UBE2K","Illumina","GTSP0521"
"chr4",83218461,"-","PBMC","pHI002",148,"GTSP0521-1","m40",40,4,0.148367952522255,"COQ2","Illumina","GTSP0521"
"chr4",118063000,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"NDST3","Illumina","GTSP0521"
"chr4",153154906,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"TRIM2","Illumina","GTSP0521"
"chr4",155681598,"+","PBMC","pHI002",407,"GTSP0521-1","m40",40,22,0.816023738872404,"GUCY1A3","Illumina","GTSP0521"
"chr4",15762015,"+","PBMC","pHI002",215,"GTSP0521-2","m40",40,6,0.222551928783383,"CD38","Illumina","GTSP0521"
"chr4",174420072,"+","PBMC","pHI002",2,"GTSP0521-3","m40",40,1,0.0370919881305638,"MIR4276","Illumina","GTSP0521"
"chr4",37753876,"+","PBMC","pHI002",51,"GTSP0521-1","m40",40,1,0.0370919881305638,"RELL1","Illumina","GTSP0521"
"chr4",48173845,"+","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"TEC","Illumina","GTSP0521"
"chr4",78614861,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"ANXA3","Illumina","GTSP0521"
"chr4",81464894,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"RASGEF1B","Illumina","GTSP0521"
"chr4",83320138,"+","PBMC","pHI002",671,"GTSP0521-1","m40",40,23,0.853115727002967,"HPSE","Illumina","GTSP0521"
"chr4",94344708,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"HPGDS","Illumina","GTSP0521"
"chr5",119270823,"-","PBMC","pHI002",26,"GTSP0521-3","m40",40,1,0.0370919881305638,"TNFAIP8","Illumina","GTSP0521"
"chr5",127566074,"-","PBMC","pHI002",97,"GTSP0521-3","m40",40,1,0.0370919881305638,"PRRC1","Illumina","GTSP0521"
"chr5",131381036,"-","PBMC","pHI002",65,"GTSP0521-1","m40",40,3,0.111275964391691,"CDC42SE2","Illumina","GTSP0521"
"chr5",159115275,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"LINC02202","Illumina","GTSP0521"
"chr5",172113831,"-","PBMC","pHI002",23,"GTSP0521-3","m40",40,1,0.0370919881305638,"STK10","Illumina","GTSP0521"
"chr5",172179014,"-","PBMC","pHI002",30,"GTSP0521-1","m40",40,1,0.0370919881305638,"STK10","Illumina","GTSP0521"
"chr5",181276350,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"TRIM52-AS1","Illumina","GTSP0521"
"chr5",5487168,"-","PBMC","pHI002",1,"GTSP0521-3","m40",40,1,0.0370919881305638,"ICE1","Illumina","GTSP0521"
"chr5",80976052,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"RASGRF2","Illumina","GTSP0521"
"chr5",81634628,"-","PBMC","pHI002",36,"GTSP0521-1","m40",40,1,0.0370919881305638,"SSBP2","Illumina","GTSP0521"
"chr5",133050933,"+","PBMC","pHI002",3,"GTSP0521-1","m40",40,1,0.0370919881305638,"HSPA4","Illumina","GTSP0521"
"chr5",135375166,"+","PBMC","pHI002",90,"GTSP0521-1","m40",40,2,0.0741839762611276,"H2AFY","Illumina","GTSP0521"
"chr5",142049618,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"GNPDA1","Illumina","GTSP0521"
"chr5",170333053,"+","PBMC","pHI002",26,"GTSP0521-1","m40",40,2,0.0741839762611276,"LINC01366","Illumina","GTSP0521"
"chr5",174105710,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"HMP19","Illumina","GTSP0521"
"chr5",179924305,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"TBC1D9B","Illumina","GTSP0521"
"chr5",18745647,"+","PBMC","pHI002",42,"GTSP0521-1","m40",40,2,0.0741839762611276,"CDH18","Illumina","GTSP0521"
"chr5",39178509,"+","PBMC","pHI002",15,"GTSP0521-2","m40",40,3,0.111275964391691,"FYB","Illumina","GTSP0521"
"chr5",40407392,"+","PBMC","pHI002",228,"GTSP0521-1","m40",40,2,0.0741839762611276,"PTGER4","Illumina","GTSP0521"
"chr5",68241026,"+","PBMC","pHI002",85,"GTSP0521-1","m40",40,2,0.0741839762611276,"PIK3R1","Illumina","GTSP0521"
"chr5",76546965,"+","PBMC","pHI002",282,"GTSP0521-1","m40",40,16,0.593471810089021,"IQGAP2","Illumina","GTSP0521"
"chr6_GL000254v2_alt",2930162,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"LST1","Illumina","GTSP0521"
"chr6",113711738,"-","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"LOC101927686","Illumina","GTSP0521"
"chr6",136783055,"-","PBMC","pHI002",33,"GTSP0521-1","m40",40,3,0.111275964391691,"MAP3K5","Illumina","GTSP0521"
"chr6",153221045,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"RGS17","Illumina","GTSP0521"
"chr6",25167394,"-","PBMC","pHI002",106,"GTSP0521-1","m40",40,2,0.0741839762611276,"CMAHP","Illumina","GTSP0521"
"chr6",35718788,"-","PBMC","pHI002",164,"GTSP0521-2","m40",40,3,0.111275964391691,"FKBP5","Illumina","GTSP0521"
"chr6",471514,"-","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"EXOC2","Illumina","GTSP0521"
"chr6",49565453,"-","PBMC","pHI002",118,"GTSP0521-2","m40",40,1,0.0370919881305638,"C6ORF141","Illumina","GTSP0521"
"chr6",7042590,"-","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"RREB1","Illumina","GTSP0521"
"chr6",111539334,"+","PBMC","pHI002",266,"GTSP0521-1","m40",40,8,0.29673590504451,"TRAF3IP2-AS1","Illumina","GTSP0521"
"chr6",119784687,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"LOC105377975","Illumina","GTSP0521"
"chr6",13218591,"+","PBMC","pHI002",125,"GTSP0521-2","m40",40,1,0.0370919881305638,"PHACTR1","Illumina","GTSP0521"
"chr6",132812787,"+","PBMC","pHI002",14,"GTSP0521-2","m40",40,1,0.0370919881305638,"RPS12","Illumina","GTSP0521"
"chr6",146875736,"+","PBMC","pHI002",7,"GTSP0521-3","m40",40,1,0.0370919881305638,"STXBP5-AS1","Illumina","GTSP0521"
"chr6",149066853,"+","PBMC","pHI002",405,"GTSP0521-1","m40",40,26,0.964391691394659,"UST","Illumina","GTSP0521"
"chr6",15203069,"+","PBMC","pHI002",1,"GTSP0521-1","m40",40,1,0.0370919881305638,"JARID2","Illumina","GTSP0521"
"chr6",17715048,"+","PBMC","pHI002",3,"GTSP0521-1","m40",40,1,0.0370919881305638,"LOC105374952","Illumina","GTSP0521"
"chr6",24930452,"+","PBMC","pHI002",71,"GTSP0521-1","m40",40,14,0.519287833827893,"RIPOR2","Illumina","GTSP0521"
"chr6",2791674,"+","PBMC","pHI002",2,"GTSP0521-1","m40",40,1,0.0370919881305638,"WRNIP1","Illumina","GTSP0521"
"chr6",28136538,"+","PBMC","pHI002",56,"GTSP0521-2","m40",40,2,0.0741839762611276,"ZSCAN16-AS1","Illumina","GTSP0521"
"chr6",31829734,"+","PBMC","pHI002",1,"GTSP0521-4","m40",40,1,0.0370919881305638,"HSPA1B","Illumina","GTSP0521"
"chr6",37168858,"+","PBMC","pHI002",11,"GTSP0521-3","m40",40,1,0.0370919881305638,"PIM1","Illumina","GTSP0521"
"chr6",4017599,"+","PBMC","pHI002",2,"GTSP0521-2","m40",40,2,0.0741839762611276,"PRPF4B","Illumina","GTSP0521"
"chr6",43345969,"+","PBMC","pHI002",3,"GTSP0521-1","m40",40,2,0.0741839762611276,"ZNF318","Illumina","GTSP0521"
"chr6",56729400,"+","PBMC","pHI002",1,"GTSP0521-2","m40",40,1,0.0370919881305638,"DST","Illumina","GTSP0521"
"chr6",6586678,"+","PBMC","pHI002",22,"GTSP0521-1","m40",40,1,0.0370919881305638,"LY86-AS1","Illumina","GTSP0521"
"chr6",6655838,"+","PBMC","pHI002",4,"GTSP0521-3","m40",40,1,0.0370919881305638,"LY86","Illumina","GTSP0521"
